id,group_id,instruction,response,tier,source_id,source_url,captured_at,verified_by,verified_at,legacy_id,notes
mu-000089,mu-000089,Is there separate dining for guests and visiting faculty?,"Yes. Separate dining arrangements exist for visiting faculty, guests and institutional partners through designated hospitality facilities, including dining spaces associated with the university guesthouse.",STATIC,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,,,,QA089,
mu-000090,mu-000090,Is there a guest house on the Mahindra University campus?,"Yes. The website mentions dining spaces associated with the university guesthouse, and the campus map has a 'Guest House' label and a wayfinding sign that reads 'left arrow, 5 min from sign'. The sources do not give a more specific location.",STATIC,SRC-W-08; SRC-M-01; SRC-M-02,https://www.mahindrauniversity.edu.in/eateries/,,,,QA090,Multi-source. Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000091,mu-000091,What outdoor sports facilities are available on campus?,"Dedicated grounds and courts for football, cricket, basketball, volleyball and athletics.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA091,
mu-000092,mu-000092,What indoor sports facilities are available on campus?,"Indoor facilities for badminton, table tennis, snooker and other recreational games.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA092,
mu-000093,mu-000093,Does the campus have a gym?,"Yes, a gym with modern cardio and strength-training equipment.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA093,
mu-000094,mu-000094,Does the campus have a swimming pool?,"Yes, a dedicated swimming pool for leisure and fitness swimming.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA094,
mu-000095,mu-000095,Is there a jogging track on campus?,"Yes, a multi-lane jogging and fitness track for running, warm-ups and outdoor conditioning.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA095,
mu-000096,mu-000096,Are there yoga or wellness programmes at Mahindra University?,"Yes. Regular yoga sessions, fitness programmes and wellness initiatives support mental health and stress management.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA096,
mu-000097,mu-000097,Which sports clubs are there at Mahindra University?,"Active sports clubs: Football, Cricket, Badminton, Table tennis, Basketball, Volleyball, Tennis, Snooker. AIRO is the annual multi-sport event; students also join inter-university tournaments.",STATIC,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,,,,QA097,
mu-000098,mu-000098,What are the classrooms like at Mahindra University?,"Most teaching spaces have smart classroom technology (digital presentation, audio-visual support, interactive tools), flexible seating layouts, integrated projection and sound systems, and ergonomic comfort features. Smaller classrooms support seminar-style discussion; larger lecture halls accommodate cohort-based learning. Classrooms are described as accessible and inclusive, with support for blended and hybrid instruction.",STATIC,SRC-W-13,https://www.mahindrauniversity.edu.in/classrooms/,,,,QA098,
mu-000099,mu-000099,How many student clubs does Mahindra University have?,"The website gives different figures: the homepage states students engage in 75+ clubs, while the Student Clubs page meta description states 40+ student clubs and 48 entries are listed on that page.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA099,draft stability_tag: Changes each term
mu-000100,mu-000100,What is AeiForia - The Sustainability Club?,"AeiForia - The Sustainability Club: Promotes sustainable practices and environmental awareness on campus through drives, design projects and student campaigns.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA100,
mu-000101,mu-000101,What is Aether & AIRO Committees?,"Aether & AIRO Committees: Manage the university's annual techno-cultural festival (Aether) and sports festival (AIRO); students lead planning, creative direction, logistics and execution.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA101,
mu-000102,mu-000102,What is AIESEC at Mahindra University?,"AIESEC at Mahindra University: Connects MU students to a global youth network for leadership, exchange and service learning, including international internships and social impact projects.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA102,
mu-000103,mu-000103,What is Ambrosia - The Biology Club?,"Ambrosia - The Biology Club: Explores biology through experiments, workshops and field studies.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA103,
mu-000104,mu-000104,What is Amartya - The Finance Club?,"Amartya - The Finance Club: Studies how finance shapes innovation and enterprise through discussions, simulations and analysis.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA104,
mu-000105,mu-000105,What is Art Felt Club?,"Art Felt Club: A space for creative expression in art and design through workshops, exhibitions and collaborative projects.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA105,
mu-000106,mu-000106,What is ASCE Student Chapter?,ASCE Student Chapter: Engages civil engineering students in real-world design and infrastructure applications; promotes sustainable construction and professional growth.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA106,
mu-000107,mu-000107,What is AUV Club?,"AUV Club: Builds and tests autonomous underwater vehicles for research and competition, blending mechanical, electronic and software skills.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA107,
mu-000108,mu-000108,What is BAJA SAE Team?,BAJA SAE Team: Designs and fabricates off-road vehicles to compete in national SAE events.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA108,
mu-000109,mu-000109,What is Celeste - The Astronomy Club?,"Celeste - The Astronomy Club: Astronomy and astrophysics through observation, research and discussions, open to students from every discipline.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA109,
mu-000110,mu-000110,What is Coding Ninjas MU Chapter?,Coding Ninjas MU Chapter: Strengthens programming and problem-solving skills through coding challenges and mentorship.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA110,
mu-000111,mu-000111,What is Community Service Club (Outreach)?,"Community Service Club (Outreach): Education drives, environmental clean-ups and other student social-impact initiatives.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA111,
mu-000112,mu-000112,What is Cyber Security Club (Secret Garden)?,"Cyber Security Club (Secret Garden): Workshops, capture-the-flag challenges and discussions on ethical hacking and cybersecurity.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA112,
mu-000113,mu-000113,What is Dance Club - 8 Counts?,"Dance Club - 8 Counts: Diverse dance forms, from stage performances to cultural fests.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA113,
mu-000114,mu-000114,What is Debate & Literary Club (Erudite)?,"Debate & Literary Club (Erudite): Debates, readings and writing sessions to build clear thinking and confident speaking.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA114,
mu-000115,mu-000115,What is Echo - MU Monthly Newspaper?,"Echo - MU Monthly Newspaper: Documents university life through news, interviews and creative stories; builds journalistic, editorial and design skills.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA115,
mu-000116,mu-000116,What is Electronics & IoT Club (Lincoln Labs)?,"Electronics & IoT Club (Lincoln Labs): Members design embedded systems and IoT devices, building circuits and prototypes.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA116,
mu-000117,mu-000117,What is Entrepreneurship & Innovation Cell (EIC)?,"Entrepreneurship & Innovation Cell (EIC): Supports ideation, mentorship and startup incubation for students.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA117,
mu-000118,mu-000118,What is Enigma - Computer Science Club?,"Enigma - Computer Science Club: Hands-on learning in algorithms, data structures and software development through peer teaching and projects.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA118,
mu-000119,mu-000119,What is Evolve Club?,"Evolve Club: Focuses on mental wellness and personal growth through group activities, guided sessions and workshops.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA119,
mu-000120,mu-000120,What is Finance & Economics Society?,"Finance & Economics Society: Connects economic theory to financial practice through market analysis, policy discussions and case studies.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA120,
mu-000121,mu-000121,What is Gas Monkeys Racing?,Gas Monkeys Racing: Designs and builds performance vehicles for national engineering competitions.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA121,
mu-000122,mu-000122,What is Gender & Inclusion Forum - MU Athena?,"Gender & Inclusion Forum - MU Athena: Promotes diversity, equity and inclusion through awareness campaigns and discussions.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA122,
mu-000123,mu-000123,What is Haven - Animal Welfare Club?,"Haven - Animal Welfare Club: Advocates animal care through awareness, rescue drives, adoption camps and volunteer work.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA123,
mu-000124,mu-000124,What is ISB Technology Entrepreneurship Programme?,ISB Technology Entrepreneurship Programme: In partnership with the Indian School of Business; entrepreneurial leadership through experiential learning and mentorship in technology-driven ventures.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA124,
mu-000125,mu-000125,What is Kalakriti - Cultural Club?,"Kalakriti - Cultural Club: Music, dance, art and cultural exchange; performances and celebrations of Indian tradition.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA125,
mu-000126,mu-000126,What is Literary Society - The Erudite Club?,"Literary Society - The Erudite Club: Literature, debate and creative writing.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA126,
mu-000127,mu-000127,What is Management Consulting Group (MCG)?,Management Consulting Group (MCG): Simulates real consulting challenges to develop analytical and problem-solving abilities.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA127,
mu-000128,mu-000128,What is Marketing Club - Vipanan?,"Marketing Club - Vipanan: Strategy, branding and campaign design through competitions and marketing simulations.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA128,
mu-000129,mu-000129,What is Math Club?,"Math Club: Puzzles, proofs and discussions on mathematics.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA129,
mu-000130,mu-000130,What is Media Club?,"Media Club: Produces and curates visual content for campus events: photography, videography and digital storytelling.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA130,
mu-000131,mu-000131,What is Model United Nations (MU MUN)?,"Model United Nations (MU MUN): Simulates international diplomacy and negotiation; builds public speaking, research and negotiation skills.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA131,
mu-000132,mu-000132,What is NSS Unit (National Service Scheme)?,NSS Unit (National Service Scheme): Volunteerism and community service initiatives.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA132,
mu-000133,mu-000133,What is Orion Club - Aeronautics Society?,"Orion Club - Aeronautics Society: Designs and studies aircraft systems through applied research and projects (aerodynamics, propulsion, aerospace design).",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA133,
mu-000134,mu-000134,What is Outreach & Social Impact Club?,"Outreach & Social Impact Club: Teaching, awareness and support programmes extending MU's community values beyond campus.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA134,
mu-000135,mu-000135,What is Palaestro - Fitness Club?,"Palaestro - Fitness Club: Group workouts, challenges and events promoting an active lifestyle.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA135,
mu-000136,mu-000136,What is Power Speakers Club?,Power Speakers Club: Public speaking and leadership workshops with feedback.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA136,
mu-000137,mu-000137,What is Roboverse - Robotics Club?,"Roboverse - Robotics Club: Designs and prototypes intelligent robotic systems integrating mechanics, electronics and AI.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA137,
mu-000138,mu-000138,What is SAE Aero Division?,SAE Aero Division: Aircraft design and testing for national-level competitions.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA138,
mu-000139,mu-000139,What is SAE BAJA Division?,"SAE BAJA Division: Designs, builds and races off-road vehicles for BAJA events.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA139,
mu-000140,mu-000140,What is Secret Garden - Cybersecurity Club?,Secret Garden - Cybersecurity Club: Training in ethical hacking and secure software design.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA140,
mu-000141,mu-000141,What is SPIC MACAY - MU Chapter?,SPIC MACAY - MU Chapter: Hosts classical music and art performances.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA141,
mu-000142,mu-000142,What is SRELP - Society for Research in Environmental Law & Policy?,"SRELP - Society for Research in Environmental Law & Policy: Combines law and sustainability through seminars, writing and policy research.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA142,
mu-000143,mu-000143,What is Synolo - Music Club?,Synolo - Music Club: Brings together singers and musicians to perform across genres.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA143,
mu-000144,mu-000144,What is TEDx Mahindra University?,"TEDx Mahindra University: Organises independently curated TEDx events; students learn curation, production and event management.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA144,
mu-000145,mu-000145,What is The Fashion Club - Voguenze?,"The Fashion Club - Voguenze: Designs, styles and showcases fashion as creative storytelling.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA145,
mu-000146,mu-000146,What is The Yoga Club?,The Yoga Club: Structured yoga sessions promoting physical and mental harmony.,STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA146,
mu-000147,mu-000147,What is Zenith Science Club?,"Zenith Science Club: Experimentation and inquiry across disciplines through demonstrations, outreach sessions and discussions.",STATIC,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA147,
mu-000148,mu-000148,What research figures does Mahindra University report?,"The homepage shows 1500+ publications in national and international peer-reviewed journals, 20+ active research areas and 15+ funded consultancy projects.",STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA148,draft stability_tag: Changes each term
mu-000149,mu-000149,What sections does the Research and Innovation part of the website have?,Research Labs; Publications & Patents; Research-based Consultancy; Sponsored Research Programmes; Research MoUs & Agreements; Advisory Council; Expertise Finder; Conferences; News & Press Releases.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA149,
mu-000150,mu-000150,What is ICETCI 2026?,"The Sixth International Conference on Emerging Techniques in Computational Intelligence. The homepage event card date is 19 Aug, and an Instagram post on the homepage gives the conference dates as 19-22 August 2026.",TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA150,draft stability_tag: Changes each term
mu-000151,mu-000151,What is the Periodic Risk Tables event?,'Periodic Risk Tables: Toolkit for Developing Resilient Organisations' is an event about the Periodic Table of Enterprise Risks (PTER) and Periodic Risk Tables (PRTs). The homepage card date is 19 Jun.,TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA151,draft stability_tag: Changes each term
mu-000152,mu-000152,What is the Full-day Workshop on Research Grant Writing?,A workshop by the MU-VT Interdisciplinary Advanced Research Center for Transformative Technologies (IARCT2) with Virginia Tech. The homepage card date is 27 Feb.,TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA152,draft stability_tag: Changes each term
mu-000153,mu-000153,What is AIRO 2026?,Mahindra University's inter-collegiate sports fest. The homepage card date is 29 Jan.,TERMLY,SRC-W-02; SRC-W-14,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/student-clubs/,,,,QA153,MU-116 describes AIRO as the annual sports festival managed by the Aether & AIRO Committees. | draft stability_tag: Changes each term
mu-000154,mu-000154,What is the Workshop on Trends in Modern Decision Making?,"The Workshop on Trends in Modern Decision Making: Applications of MCDM and Optimisation. The homepage card date is 15 Dec, while the card text mentions a 5-day event at Mahindra University, Hyderabad, from June 23-27, 2025 (the dates differ on the card).",TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA154,draft stability_tag: Changes each term
mu-000155,mu-000155,What was the Amish Tripathi session at Mahindra University?,The Erudite - Literary and Debate Club hosted an evening of questions and answers with Amish Tripathi on mythology. The homepage card date is 1 Oct.,TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA155,draft stability_tag: Changes each term
mu-000156,mu-000156,What is ICPEEV 2026?,"The IEEE IES technically co-sponsored first International Conference on Cyber Physical Systems, Power Electronics and Electric Vehicles - 2026.",TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA156,draft stability_tag: Changes each term
mu-000157,mu-000157,What is the International Conference on Contemporary Communication and Secure Networks (CCSN)?,It is listed as an announcement on the Mahindra University homepage.,TERMLY,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA157,draft stability_tag: Changes each term
mu-000158,mu-000158,What is the Massey University partnership?,Mahindra University and Massey University celebrate a new partnership with a delegation visit to New Zealand.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA158,draft stability_tag: Changes each term
mu-000159,mu-000159,What was announced about M&M shares received as an endowment contribution?,Announcement about monetisation of M&M shares received as an endowment contribution.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA159,draft stability_tag: Changes each term
mu-000160,mu-000160,What contribution of M&M shares was announced by Anuradha and Anand Mahindra?,Announcement of a contribution of M&M shares by Anuradha and Anand Mahindra to Mahindra University.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA160,draft stability_tag: Changes each term
mu-000161,mu-000161,Who won the 2026 Sang Soo Lee Award from Optica?,Mahindra University's Bishnu Pal wins the 2026 Sang Soo Lee Award from Optica.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA161,draft stability_tag: Changes each term
mu-000162,mu-000162,What is Mahindra University's partnership with Boltzmann Labs?,Mahindra University partners with Boltzmann Labs to advance AI-driven life sciences research.,STATIC,SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA162,draft stability_tag: Changes each term
mu-000163,mu-000163,Where is the École Centrale School of Engineering on campus?,"The campus map has a label for the École Centrale School of Engineering (spelling still to be verified) and a wayfinding sign that reads 'left arrow, 5 min from sign'. The website lists it as one of the seven schools but gives no location.",STATIC,SRC-M-01; SRC-M-02; SRC-W-02,https://www.mahindrauniversity.edu.in/,,,,QA163,Multi-source. Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000164,mu-000164,Where is the Academic Block?,"The campus map has an 'Academic Block' label, and a wayfinding sign for it reads 'left arrow, 6 min from sign'. No other location detail is recorded.",STATIC,SRC-M-01; SRC-M-02,assets/campus_map_closeup.jpg; assets/campus_map_full_sign.jpg,,,,QA164,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000165,mu-000165,Where is the Vineet Nayyar Academic Block?,"The campus map has a 'Vineet Nayyar Academic Block' label, and a wayfinding sign for it reads 'left arrow, 9 min from sign'. No other location detail is recorded.",STATIC,SRC-M-01; SRC-M-02,assets/campus_map_closeup.jpg; assets/campus_map_full_sign.jpg,,,,QA165,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000166,mu-000166,Where is Hostel 5?,"A wayfinding sign for Hostel 5 on the campus map reads 'straight, 1 min from sign'. No other location detail is recorded.",STATIC,SRC-M-02,assets/campus_map_full_sign.jpg,,,,QA166,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000167,mu-000167,"Where are Hostels 1, 2, 3 and 4?","A wayfinding sign for 'Hostel 1, 2, 3, 4' on the campus map reads 'left arrow, 8 min from sign'. No other location detail is recorded.",STATIC,SRC-M-02,assets/campus_map_full_sign.jpg,,,,QA167,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000168,mu-000168,Is there a soccer field on the campus map?,"Yes. The campus map has a label for a 'Soccer Field'. No direction, distance or other location detail is recorded.",STATIC,SRC-M-01,assets/campus_map_closeup.jpg,,,,QA168,
mu-000169,mu-000169,Where is the Convention Centre?,"The campus map has a 'Convention Centre' label, and a wayfinding sign (spelled 'Convention Center') reads 'left arrow, 9 min from sign'. No other location detail is recorded.",STATIC,SRC-M-01; SRC-M-02,assets/campus_map_closeup.jpg; assets/campus_map_full_sign.jpg,,,,QA169,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000170,mu-000170,Is there an NCC office on campus?,The campus map has a label for an 'NCC Office'. No other detail is recorded.,STATIC,SRC-M-01,assets/campus_map_closeup.jpg,,,,QA170,
mu-000171,mu-000171,Is there an Infra Office on campus?,The campus map has a label for an 'Infra Office'. No other detail is recorded.,STATIC,SRC-M-01,assets/campus_map_closeup.jpg,,,,QA171,
mu-000172,mu-000172,Where is the Main Gate?,"A wayfinding sign for the Main Gate on the campus map reads 'left arrow, 7 min from sign'. No other location detail is recorded.",STATIC,SRC-M-02,assets/campus_map_full_sign.jpg,,,,QA172,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000173,mu-000173,Where is the Health Care Centre?,"A wayfinding sign for the Health Care Centre on the campus map reads 'straight, 1 min from sign'. No other location detail is recorded.",STATIC,SRC-M-02,assets/campus_map_full_sign.jpg,,,,QA173,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000174,mu-000174,How do I find the schools on the campus map?,"A wayfinding sign labelled 'Schools' on the campus map reads 'down arrow, 2 min from sign'. The sign does not name individual schools.",STATIC,SRC-M-02,assets/campus_map_full_sign.jpg,,,,QA174,Stability marked for review because the wayfinding part depends on the unrecorded sign position. | draft stability_tag: Needs review
mu-000175,mu-000175,What places are marked on the Mahindra University campus map?,"Labels: École Centrale School of Engineering, Academic Block, Vineet Nayyar Academic Block, Hostels, Guest House, Soccer Field, Convention Centre, NCC Office and Infra Office. Wayfinding signs: Main Gate, Health Care Centre, Hostel 5, Schools, Guest House, Academic Block, Convention Center, Vineet Nayyar Academic Block, École Centrale School of Engineering and Hostel 1, 2, 3, 4.",STATIC,SRC-M-01; SRC-M-02,assets/campus_map_closeup.jpg; assets/campus_map_full_sign.jpg,,,,QA175,
mu-000176,mu-000176,When does the Fall Semester 2026 begin at Mahindra University?,"The Fall Semester 2026 begins on Tuesday 4 August 2026 for the semester-system schools (ECSoE, SoL, IMSoE, SDMC, SoDI, SoHM). That day is also Registration Day for all batches except the incoming 2026 batch.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000177,mu-000177,When do Fall Semester 2026 classes start?,Classes start on Wednesday 5 August 2026 for returning batches. The incoming 2026 batch starts classes on Friday 7 August 2026.,TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000178,mu-000178,When is Registration Day for first-year students joining in 2026?,"Registration Day for the incoming 2026 batch is Thursday 6 August 2026, across all schools except the School of Management (SoM). SoM registered its batches on Monday 13 July 2026.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000179,mu-000179,When are the Minor I exams in the Fall Semester 2026?,"Minor I exams for the Fall Semester run from Wednesday 9 to Saturday 12 September 2026, for ECSoE, IMSoE and SDMC as applicable.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000180,mu-000180,"When are the Fall Semester 2026 mid-term exams for SoL, SoHM and SDMC?","Mid-term exams for SoL, SoHM and SDMC (as applicable) run from Monday 28 September to Thursday 1 October 2026.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000181,mu-000181,When is the mid-semester break in the Fall Semester 2026?,"The Fall mid-semester break is Monday 19 to Friday 23 October 2026, for the semester-system schools (ECSoE, SoL, IMSoE, SDMC, SoDI, SoHM).",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000182,mu-000182,When are the Minor II exams in the Fall Semester 2026?,"Minor II exams for the Fall Semester run from Wednesday 28 to Saturday 31 October 2026, for ECSoE, IMSoE and SDMC as applicable.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000183,mu-000183,When are the end-semester (major) exams for the Fall Semester 2026?,"Major and supplementary exams for the Fall Semester run from Friday 4 to Friday 18 December 2026, for the semester-system schools (ECSoE, SoL, IMSoE, SDMC, SoDI, SoHM).",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000184,mu-000184,When is the winter break after the Fall Semester 2026?,"The end-semester break for the semester-system schools (ECSoE, SoL, IMSoE, SDMC, SoDI, SoHM) runs from Saturday 19 December 2026 to Sunday 17 January 2027.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf | Source prints the end date as 'Sunday 17th January 2026'; 17 Jan 2027 is the Sunday and the break must end in 2027. Confirm when verifying.
mu-000185,mu-000185,When does the Spring Semester 2027 begin?,"The Spring Semester begins on Monday 18 January 2027 for the semester-system schools (ECSoE, SoL, IMSoE, SDMC, SoDI, SoHM), with Registration Day for all batches the same day. Classes begin on Tuesday 19 January 2027.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
mu-000186,mu-000186,When are the Minor I exams in the Spring Semester 2027?,"Minor I exams for the Spring Semester run from Wednesday 24 to Saturday 27 February 2027, for ECSoE, IMSoE and SDMC as applicable.",TERMLY,SRC-P-01,https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,2026-09-23,,,,Drafted by Claude from the PDF on 2026-09-23; verify every date against assets/Academic-Calendar-2026-2027.pdf
