qa_id,question,answer,category,subcategory,source_type,source_record_id,source_id,source_url,source_page,entity,stability_tag,verification_status,notes
QA072,Who are the regional admissions contacts?,"Ajay Mishra (Uttar Pradesh): ajay.mishra@mahindrauniversity.edu.in, 7705996324. Dibyendu Karmakar (West Bengal, North Eastern States, Odisha, Jharkhand, Chhattisgarh): dibyendu.karmakar@mahindrauniversity.edu.in, 9874838333. Abhinandan Kashyap (Delhi/NCR, Haryana, Punjab, Himachal Pradesh, Uttarakhand, Jammu & Kashmir): abhinandan.kashyap@mahindrauniversity.edu.in, 7982759762.",Contact,Admissions,website,MU-188,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Regional admissions contacts,Changes each term,Pending,
QA073,How can I send career-related queries to Mahindra University?,Career-related queries can be sent to careers@mahindrauniversity.edu.in or 040-67135160.,Placements & Careers,Contact,website,MU-167,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Careers contact,Changes each term,Pending,
QA074,How can I contact Mahindra University about branding enquiries?,Branding enquiries: branding@mahindrauniversity.edu.in.,Contact,Other,website,MU-189,SRC-W-09,https://www.mahindrauniversity.edu.in/contact-us/,Contact Us - Mahindra University (MU),Branding enquiries,Changes each term,Pending,
QA075,What are Mahindra University's official social media channels?,"Facebook (MahindraUni), Twitter (MahindraUni), Instagram (mahindrauni), LinkedIn (Mahindra Ecole Centrale school page) and YouTube.",Contact,Other,website,MU-190,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Social media channels,Stable,Pending,
QA076,Where is the library?,"The library is the Vineet Nayyar Learning Resource Centre (VNLRC), located on the Mahindra University campus. The source gives no more specific location.",Campus & Facilities,Library,website,MU-093,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Vineet Nayyar Learning Resource Centre (VNLRC),Stable,Pending,
QA077,What is the Vineet Nayyar Learning Resource Centre?,"VNLRC is the central knowledge hub of the university, supporting students, research scholars, faculty and staff with printed and electronic resources and technology-enabled study spaces. Total area: 36,650 square feet.",Campus & Facilities,Library,website,MU-093,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Vineet Nayyar Learning Resource Centre (VNLRC),Stable,Pending,
QA078,How many books does the Mahindra University library have?,"The library holds 29,000+ books and journals across disciplines.",Campus & Facilities,Library,website,MU-094,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Library collection,Changes each term,Pending,
QA079,What facilities are available at the library?,"Full RFID automation with KOHA integrated software supports self checkout and real-time catalogue access. Reading rooms, collaborative areas and quiet zones are available.",Campus & Facilities,Library,website,MU-095,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Library facilities,Stable,Pending,
QA080,What are the library timings?,VNLRC: 8:00 AM-11:00 PM Monday-Friday; 9:00 AM-5:00 PM Saturday and Sunday (9:00 AM-11:00 PM on weekends during examination time). SOL: 9:00 AM-9:00 PM Monday-Friday; 9:00 AM-5:00 PM Saturday and Sunday (9:00 AM-9:00 PM on weekends during examination time).,Campus & Facilities,Library,website,MU-096,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Library timings,Changes each term,Pending,
QA081,Can I search the library catalogue and access e-resources online?,"Yes. OPAC (Online Public Access Catalog) lets users search books, journals and e-resources: https://library.mahindrauniversity.edu.in/ . E-journals and databases are available 24/7 with remote access: https://mahindrauniversity.refread.com/",Campus & Facilities,Library,website,MU-097,SRC-W-10,https://www.mahindrauniversity.edu.in/library/,Our E-Library and Stocks - Mahindra University (MU),Library OPAC and e-resources,Stable,Pending,
QA082,Does Mahindra University have on-campus hostels?,"Yes. It is a fully residential campus with on-campus student residences within walking distance of academic, recreational and dining facilities. Individual hostel or block names are not listed on the page. Hostel stay is mandatory for B.Tech students.",Campus & Facilities,Residences,website,MU-099,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,Residences | Mahindra University,Student residences (hostels),Stable,Pending,
QA083,Which hostels are on the Mahindra University campus?,"The website says there are on-campus student residences but does not list individual hostel or block names. The campus-map observations show labels for 'Hostels' (multiple hostel areas visible; numbering still to be verified), 'Hostel 5' and 'Hostel 1, 2, 3, 4'.",Campus & Facilities,Residences,campus_map; website,MU-099; MAP-004; MAP-012; MAP-019,SRC-W-11; SRC-M-01; SRC-M-02,https://www.mahindrauniversity.edu.in/residences/,Residences | Mahindra University; closeup; full_sign,Hostels,Needs review,Pending,Multi-source. Stability marked for review because the map numbering is flagged 'numbering verify' in the source.
QA084,What features and facilities do the student residences have?,"Furnished rooms; common areas for study, interaction and recreation; utilities and housekeeping support; internet connectivity; managed access and on-site supervision.",Campus & Facilities,Residences,website,MU-100,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,Residences | Mahindra University,Residence features,Stable,Pending,
QA085,What safety and wellbeing measures exist in the residences?,"Controlled access to residential areas, on-site residential staff and support teams, protocols for safety, health and conduct, and access to campus health and support services. A separate Campus Safety page exists: https://www.mahindrauniversity.edu.in/campus-safety/ .",Campus & Facilities,Residences,website,MU-101,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,Residences | Mahindra University,Residence safety and wellbeing,Stable,Pending,
QA086,Are there residential guidelines and an orientation for new hostel residents?,"Yes. Residences operate under residential guidelines, and orientation programmes help new residents transition into campus living.",Campus & Facilities,Residences,website,MU-102,SRC-W-11,https://www.mahindrauniversity.edu.in/residences/,Residences | Mahindra University,Residential guidelines and orientation,Stable,Pending,
QA087,What dining options are available for students on campus?,"The student mess provides regular meal services as part of the residential experience, in structured dining spaces designed for large student populations. Canteens and informal dining areas are positioned across the campus for quick meals and refreshments outside scheduled meal times.",Campus & Facilities,Dining,website,MU-103; MU-104,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,Eateries | Mahindra University,Student mess and canteens,Stable,Pending,
QA088,Where is the student mess?,On campus; accessible from hostels and academic blocks. The source gives no more specific location.,Campus & Facilities,Dining,website,MU-103,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,Eateries | Mahindra University,Student mess,Stable,Pending,
QA089,Is there separate dining for guests and visiting faculty?,"Yes. Separate dining arrangements exist for visiting faculty, guests and institutional partners through designated hospitality facilities, including dining spaces associated with the university guesthouse.",Campus & Facilities,Dining,website,MU-105,SRC-W-08,https://www.mahindrauniversity.edu.in/eateries/,Eateries | Mahindra University,Guest and faculty dining,Stable,Pending,
QA090,Is there a guest house on the Mahindra University campus?,"Yes. The website mentions dining spaces associated with the university guesthouse, and the campus map has a 'Guest House' label and a wayfinding sign that reads 'left arrow, 5 min from sign'. The sources do not give a more specific location.",Campus & Facilities,Campus Map,campus_map; website,MU-105; MAP-005; MAP-014,SRC-W-08; SRC-M-01; SRC-M-02,https://www.mahindrauniversity.edu.in/eateries/,Eateries | Mahindra University; closeup; full_sign,Guest House,Needs review,Pending,Multi-source. Stability marked for review because the wayfinding part depends on the unrecorded sign position.
QA091,What outdoor sports facilities are available on campus?,"Dedicated grounds and courts for football, cricket, basketball, volleyball and athletics.",Campus & Facilities,Sports,website,MU-106,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Outdoor sports grounds,Stable,Pending,
QA092,What indoor sports facilities are available on campus?,"Indoor facilities for badminton, table tennis, snooker and other recreational games.",Campus & Facilities,Sports,website,MU-107,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Indoor courts and halls,Stable,Pending,
QA093,Does the campus have a gym?,"Yes, a gym with modern cardio and strength-training equipment.",Campus & Facilities,Sports,website,MU-108,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Gym and fitness centre,Stable,Pending,
QA094,Does the campus have a swimming pool?,"Yes, a dedicated swimming pool for leisure and fitness swimming.",Campus & Facilities,Sports,website,MU-109,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Swimming pool,Stable,Pending,
QA095,Is there a jogging track on campus?,"Yes, a multi-lane jogging and fitness track for running, warm-ups and outdoor conditioning.",Campus & Facilities,Sports,website,MU-110,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Jogging and fitness track,Stable,Pending,
QA096,Are there yoga or wellness programmes at Mahindra University?,"Yes. Regular yoga sessions, fitness programmes and wellness initiatives support mental health and stress management.",Campus & Facilities,Sports,website,MU-111,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Wellness and yoga programmes,Stable,Pending,
QA097,Which sports clubs are there at Mahindra University?,"Active sports clubs: Football, Cricket, Badminton, Table tennis, Basketball, Volleyball, Tennis, Snooker. AIRO is the annual multi-sport event; students also join inter-university tournaments.",Campus & Facilities,Sports,website,MU-112,SRC-W-12,https://www.mahindrauniversity.edu.in/sports/,Sports | Mahindra University,Student sports clubs,Stable,Pending,
QA098,What are the classrooms like at Mahindra University?,"Most teaching spaces have smart classroom technology (digital presentation, audio-visual support, interactive tools), flexible seating layouts, integrated projection and sound systems, and ergonomic comfort features. Smaller classrooms support seminar-style discussion; larger lecture halls accommodate cohort-based learning. Classrooms are described as accessible and inclusive, with support for blended and hybrid instruction.",Campus & Facilities,Classrooms,website,MU-113,SRC-W-13,https://www.mahindrauniversity.edu.in/classrooms/,Classrooms | Mahindra University,Classrooms,Stable,Pending,
QA099,How many student clubs does Mahindra University have?,"The website gives different figures: the homepage states students engage in 75+ clubs, while the Student Clubs page meta description states 40+ student clubs and 48 entries are listed on that page.",Student Life,Overview,website,MU-114,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Student clubs,Changes each term,Pending,
QA100,What is AeiForia - The Sustainability Club?,"AeiForia - The Sustainability Club: Promotes sustainable practices and environmental awareness on campus through drives, design projects and student campaigns.",Student Life,Student Clubs,website,MU-115,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,AeiForia - The Sustainability Club,Stable,Pending,
QA101,What is Aether & AIRO Committees?,"Aether & AIRO Committees: Manage the university's annual techno-cultural festival (Aether) and sports festival (AIRO); students lead planning, creative direction, logistics and execution.",Student Life,Student Clubs,website,MU-116,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Aether & AIRO Committees,Stable,Pending,
QA102,What is AIESEC at Mahindra University?,"AIESEC at Mahindra University: Connects MU students to a global youth network for leadership, exchange and service learning, including international internships and social impact projects.",Student Life,Student Clubs,website,MU-117,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,AIESEC at Mahindra University,Stable,Pending,
QA103,What is Ambrosia - The Biology Club?,"Ambrosia - The Biology Club: Explores biology through experiments, workshops and field studies.",Student Life,Student Clubs,website,MU-118,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Ambrosia - The Biology Club,Stable,Pending,
QA104,What is Amartya - The Finance Club?,"Amartya - The Finance Club: Studies how finance shapes innovation and enterprise through discussions, simulations and analysis.",Student Life,Student Clubs,website,MU-119,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Amartya - The Finance Club,Stable,Pending,
QA105,What is Art Felt Club?,"Art Felt Club: A space for creative expression in art and design through workshops, exhibitions and collaborative projects.",Student Life,Student Clubs,website,MU-120,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Art Felt Club,Stable,Pending,
QA106,What is ASCE Student Chapter?,ASCE Student Chapter: Engages civil engineering students in real-world design and infrastructure applications; promotes sustainable construction and professional growth.,Student Life,Student Clubs,website,MU-121,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,ASCE Student Chapter,Stable,Pending,
QA107,What is AUV Club?,"AUV Club: Builds and tests autonomous underwater vehicles for research and competition, blending mechanical, electronic and software skills.",Student Life,Student Clubs,website,MU-122,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,AUV Club,Stable,Pending,
QA108,What is BAJA SAE Team?,BAJA SAE Team: Designs and fabricates off-road vehicles to compete in national SAE events.,Student Life,Student Clubs,website,MU-123,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,BAJA SAE Team,Stable,Pending,
QA109,What is Celeste - The Astronomy Club?,"Celeste - The Astronomy Club: Astronomy and astrophysics through observation, research and discussions, open to students from every discipline.",Student Life,Student Clubs,website,MU-124,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Celeste - The Astronomy Club,Stable,Pending,
QA110,What is Coding Ninjas MU Chapter?,Coding Ninjas MU Chapter: Strengthens programming and problem-solving skills through coding challenges and mentorship.,Student Life,Student Clubs,website,MU-125,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Coding Ninjas MU Chapter,Stable,Pending,
QA111,What is Community Service Club (Outreach)?,"Community Service Club (Outreach): Education drives, environmental clean-ups and other student social-impact initiatives.",Student Life,Student Clubs,website,MU-126,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Community Service Club (Outreach),Stable,Pending,
QA112,What is Cyber Security Club (Secret Garden)?,"Cyber Security Club (Secret Garden): Workshops, capture-the-flag challenges and discussions on ethical hacking and cybersecurity.",Student Life,Student Clubs,website,MU-127,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Cyber Security Club (Secret Garden),Stable,Pending,
QA113,What is Dance Club - 8 Counts?,"Dance Club - 8 Counts: Diverse dance forms, from stage performances to cultural fests.",Student Life,Student Clubs,website,MU-128,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Dance Club - 8 Counts,Stable,Pending,
QA114,What is Debate & Literary Club (Erudite)?,"Debate & Literary Club (Erudite): Debates, readings and writing sessions to build clear thinking and confident speaking.",Student Life,Student Clubs,website,MU-129,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Debate & Literary Club (Erudite),Stable,Pending,
QA115,What is Echo - MU Monthly Newspaper?,"Echo - MU Monthly Newspaper: Documents university life through news, interviews and creative stories; builds journalistic, editorial and design skills.",Student Life,Student Clubs,website,MU-130,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Echo - MU Monthly Newspaper,Stable,Pending,
QA116,What is Electronics & IoT Club (Lincoln Labs)?,"Electronics & IoT Club (Lincoln Labs): Members design embedded systems and IoT devices, building circuits and prototypes.",Student Life,Student Clubs,website,MU-131,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Electronics & IoT Club (Lincoln Labs),Stable,Pending,
QA117,What is Entrepreneurship & Innovation Cell (EIC)?,"Entrepreneurship & Innovation Cell (EIC): Supports ideation, mentorship and startup incubation for students.",Student Life,Student Clubs,website,MU-132,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Entrepreneurship & Innovation Cell (EIC),Stable,Pending,
QA118,What is Enigma - Computer Science Club?,"Enigma - Computer Science Club: Hands-on learning in algorithms, data structures and software development through peer teaching and projects.",Student Life,Student Clubs,website,MU-133,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Enigma - Computer Science Club,Stable,Pending,
QA119,What is Evolve Club?,"Evolve Club: Focuses on mental wellness and personal growth through group activities, guided sessions and workshops.",Student Life,Student Clubs,website,MU-134,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Evolve Club,Stable,Pending,
QA120,What is Finance & Economics Society?,"Finance & Economics Society: Connects economic theory to financial practice through market analysis, policy discussions and case studies.",Student Life,Student Clubs,website,MU-135,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Finance & Economics Society,Stable,Pending,
QA121,What is Gas Monkeys Racing?,Gas Monkeys Racing: Designs and builds performance vehicles for national engineering competitions.,Student Life,Student Clubs,website,MU-136,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Gas Monkeys Racing,Stable,Pending,
QA122,What is Gender & Inclusion Forum - MU Athena?,"Gender & Inclusion Forum - MU Athena: Promotes diversity, equity and inclusion through awareness campaigns and discussions.",Student Life,Student Clubs,website,MU-137,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Gender & Inclusion Forum - MU Athena,Stable,Pending,
QA123,What is Haven - Animal Welfare Club?,"Haven - Animal Welfare Club: Advocates animal care through awareness, rescue drives, adoption camps and volunteer work.",Student Life,Student Clubs,website,MU-138,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Haven - Animal Welfare Club,Stable,Pending,
QA124,What is ISB Technology Entrepreneurship Programme?,ISB Technology Entrepreneurship Programme: In partnership with the Indian School of Business; entrepreneurial leadership through experiential learning and mentorship in technology-driven ventures.,Student Life,Student Clubs,website,MU-139,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,ISB Technology Entrepreneurship Programme,Stable,Pending,
QA125,What is Kalakriti - Cultural Club?,"Kalakriti - Cultural Club: Music, dance, art and cultural exchange; performances and celebrations of Indian tradition.",Student Life,Student Clubs,website,MU-140,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Kalakriti - Cultural Club,Stable,Pending,
QA126,What is Literary Society - The Erudite Club?,"Literary Society - The Erudite Club: Literature, debate and creative writing.",Student Life,Student Clubs,website,MU-141,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Literary Society - The Erudite Club,Stable,Pending,
QA127,What is Management Consulting Group (MCG)?,Management Consulting Group (MCG): Simulates real consulting challenges to develop analytical and problem-solving abilities.,Student Life,Student Clubs,website,MU-142,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Management Consulting Group (MCG),Stable,Pending,
QA128,What is Marketing Club - Vipanan?,"Marketing Club - Vipanan: Strategy, branding and campaign design through competitions and marketing simulations.",Student Life,Student Clubs,website,MU-143,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Marketing Club - Vipanan,Stable,Pending,
QA129,What is Math Club?,"Math Club: Puzzles, proofs and discussions on mathematics.",Student Life,Student Clubs,website,MU-144,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Math Club,Stable,Pending,
QA130,What is Media Club?,"Media Club: Produces and curates visual content for campus events: photography, videography and digital storytelling.",Student Life,Student Clubs,website,MU-145,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Media Club,Stable,Pending,
QA131,What is Model United Nations (MU MUN)?,"Model United Nations (MU MUN): Simulates international diplomacy and negotiation; builds public speaking, research and negotiation skills.",Student Life,Student Clubs,website,MU-146,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Model United Nations (MU MUN),Stable,Pending,
QA132,What is NSS Unit (National Service Scheme)?,NSS Unit (National Service Scheme): Volunteerism and community service initiatives.,Student Life,Student Clubs,website,MU-147,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,NSS Unit (National Service Scheme),Stable,Pending,
QA133,What is Orion Club - Aeronautics Society?,"Orion Club - Aeronautics Society: Designs and studies aircraft systems through applied research and projects (aerodynamics, propulsion, aerospace design).",Student Life,Student Clubs,website,MU-148,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Orion Club - Aeronautics Society,Stable,Pending,
QA134,What is Outreach & Social Impact Club?,"Outreach & Social Impact Club: Teaching, awareness and support programmes extending MU's community values beyond campus.",Student Life,Student Clubs,website,MU-149,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Outreach & Social Impact Club,Stable,Pending,
QA135,What is Palaestro - Fitness Club?,"Palaestro - Fitness Club: Group workouts, challenges and events promoting an active lifestyle.",Student Life,Student Clubs,website,MU-150,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Palaestro - Fitness Club,Stable,Pending,
QA136,What is Power Speakers Club?,Power Speakers Club: Public speaking and leadership workshops with feedback.,Student Life,Student Clubs,website,MU-151,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Power Speakers Club,Stable,Pending,
QA137,What is Roboverse - Robotics Club?,"Roboverse - Robotics Club: Designs and prototypes intelligent robotic systems integrating mechanics, electronics and AI.",Student Life,Student Clubs,website,MU-152,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Roboverse - Robotics Club,Stable,Pending,
QA138,What is SAE Aero Division?,SAE Aero Division: Aircraft design and testing for national-level competitions.,Student Life,Student Clubs,website,MU-153,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,SAE Aero Division,Stable,Pending,
QA139,What is SAE BAJA Division?,"SAE BAJA Division: Designs, builds and races off-road vehicles for BAJA events.",Student Life,Student Clubs,website,MU-154,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,SAE BAJA Division,Stable,Pending,
QA140,What is Secret Garden - Cybersecurity Club?,Secret Garden - Cybersecurity Club: Training in ethical hacking and secure software design.,Student Life,Student Clubs,website,MU-155,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Secret Garden - Cybersecurity Club,Stable,Pending,
QA141,What is SPIC MACAY - MU Chapter?,SPIC MACAY - MU Chapter: Hosts classical music and art performances.,Student Life,Student Clubs,website,MU-156,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,SPIC MACAY - MU Chapter,Stable,Pending,
QA142,What is SRELP - Society for Research in Environmental Law & Policy?,"SRELP - Society for Research in Environmental Law & Policy: Combines law and sustainability through seminars, writing and policy research.",Student Life,Student Clubs,website,MU-157,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,SRELP - Society for Research in Environmental Law & Policy,Stable,Pending,
QA143,What is Synolo - Music Club?,Synolo - Music Club: Brings together singers and musicians to perform across genres.,Student Life,Student Clubs,website,MU-158,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Synolo - Music Club,Stable,Pending,
QA144,What is TEDx Mahindra University?,"TEDx Mahindra University: Organises independently curated TEDx events; students learn curation, production and event management.",Student Life,Student Clubs,website,MU-159,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,TEDx Mahindra University,Stable,Pending,
QA145,What is The Fashion Club - Voguenze?,"The Fashion Club - Voguenze: Designs, styles and showcases fashion as creative storytelling.",Student Life,Student Clubs,website,MU-160,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,The Fashion Club - Voguenze,Stable,Pending,
QA146,What is The Yoga Club?,The Yoga Club: Structured yoga sessions promoting physical and mental harmony.,Student Life,Student Clubs,website,MU-161,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,The Yoga Club,Stable,Pending,
QA147,What is Zenith Science Club?,"Zenith Science Club: Experimentation and inquiry across disciplines through demonstrations, outreach sessions and discussions.",Student Life,Student Clubs,website,MU-162,SRC-W-14,https://www.mahindrauniversity.edu.in/student-clubs/,Student Clubs | Mahindra University,Zenith Science Club,Stable,Pending,
QA148,What research figures does Mahindra University report?,"The homepage shows 1500+ publications in national and international peer-reviewed journals, 20+ active research areas and 15+ funded consultancy projects.",Research & Innovation,Overview,website,MU-163,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Research at Mahindra University,Changes each term,Pending,
QA149,What sections does the Research and Innovation part of the website have?,Research Labs; Publications & Patents; Research-based Consultancy; Sponsored Research Programmes; Research MoUs & Agreements; Advisory Council; Expertise Finder; Conferences; News & Press Releases.,Research & Innovation,Research Pages,website,MU-164,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Research and Innovation section pages,Stable,Pending,
QA150,What is ICETCI 2026?,"The Sixth International Conference on Emerging Techniques in Computational Intelligence. The homepage event card date is 19 Aug, and an Instagram post on the homepage gives the conference dates as 19-22 August 2026.",Events & News,Events,website,MU-168,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,ICETCI 2026,Changes each term,Pending,
QA151,What is the Periodic Risk Tables event?,'Periodic Risk Tables: Toolkit for Developing Resilient Organisations' is an event about the Periodic Table of Enterprise Risks (PTER) and Periodic Risk Tables (PRTs). The homepage card date is 19 Jun.,Events & News,Events,website,MU-169,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Periodic Risk Tables event,Changes each term,Pending,
QA152,What is the Full-day Workshop on Research Grant Writing?,A workshop by the MU-VT Interdisciplinary Advanced Research Center for Transformative Technologies (IARCT2) with Virginia Tech. The homepage card date is 27 Feb.,Events & News,Events,website,MU-170,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Workshop on Research Grant Writing,Changes each term,Pending,
QA153,What is AIRO 2026?,Mahindra University's inter-collegiate sports fest. The homepage card date is 29 Jan.,Events & News,Events,website,MU-171; MU-116,SRC-W-02; SRC-W-14,https://www.mahindrauniversity.edu.in/; https://www.mahindrauniversity.edu.in/student-clubs/,Mahindra University: Best Private University in Hyderabad; Student Clubs | Mahindra University,AIRO 2026,Changes each term,Pending,MU-116 describes AIRO as the annual sports festival managed by the Aether & AIRO Committees.
QA154,What is the Workshop on Trends in Modern Decision Making?,"The Workshop on Trends in Modern Decision Making: Applications of MCDM and Optimisation. The homepage card date is 15 Dec, while the card text mentions a 5-day event at Mahindra University, Hyderabad, from June 23-27, 2025 (the dates differ on the card).",Events & News,Events,website,MU-172,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Workshop on Trends in Modern Decision Making,Changes each term,Pending,
QA155,What was the Amish Tripathi session at Mahindra University?,The Erudite - Literary and Debate Club hosted an evening of questions and answers with Amish Tripathi on mythology. The homepage card date is 1 Oct.,Events & News,Events,website,MU-173,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,Amish Tripathi session,Changes each term,Pending,
QA156,What is ICPEEV 2026?,"The IEEE IES technically co-sponsored first International Conference on Cyber Physical Systems, Power Electronics and Electric Vehicles - 2026.",Events & News,Events,website,MU-174,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,ICPEEV 2026,Changes each term,Pending,
QA157,What is the International Conference on Contemporary Communication and Secure Networks (CCSN)?,It is listed as an announcement on the Mahindra University homepage.,Events & News,Events,website,MU-175,SRC-W-02,https://www.mahindrauniversity.edu.in/,Mahindra University: Best Private University in Hyderabad,CCSN conference,Changes each term,Pending,
